Fallout4.esm;0024A381;NPC_;VRWorkshopShared_WorkshopNPC;Virtual Settler
Fallout4.esm;0024A380;NPC_;VRWorkshopShared_LvlSMBehemoth;
Fallout4.esm;0024A37F;NPC_;VRWorkshopShared_LvlSynthCourser;
Fallout4.esm;0024A37E;NPC_;VRWorkshopShared_LvlSynth;
Fallout4.esm;0024A37D;NPC_;VRWorkshopShared_encAlien;Alien
Fallout4.esm;0024A37C;NPC_;VRWorkshopShared_LvlRaiderMixed;
Fallout4.esm;0024A37B;NPC_;VRWorkshopShared_LvlSupermutantMixed;
Fallout4.esm;0024A37A;NPC_;VRWorkshopShared_LvlGunner;
Fallout4.esm;0024A0A6;NPC_;LvlTurretTripodMountedNotRandom;
Fallout4.esm;0024A0A4;NPC_;LvlTurretTripodNotRandom;
Fallout4.esm;0024A037;NPC_;EncMinutemenFaceM06b;Settler
Fallout4.esm;0024A036;NPC_;EncMinutemenFaceM05b;Settler
Fallout4.esm;0024A035;NPC_;EncMinutemenFaceM04b;Settler
Fallout4.esm;0024A034;NPC_;EncMinutemenFaceM03b;Settler
Fallout4.esm;0024A033;NPC_;EncMinutemenFaceM02b;Settler
Fallout4.esm;0024A032;NPC_;EncMinutemenFaceM01b;Settler
Fallout4.esm;0024A031;NPC_;EncMinutemenFaceF03b;Settler
Fallout4.esm;0024A030;NPC_;encMinutemenFaceF02b;Settler
Fallout4.esm;0024A02F;NPC_;EncMinutemenFaceF01b;Settler
Fallout4.esm;0024A02E;NPC_;EncWorkshopNPCMaleGuard04b;
Fallout4.esm;0024A02D;NPC_;EncWorkshopNPCMaleGuard03b;
Fallout4.esm;0024A02C;NPC_;EncWorkshopNPCMaleGuard02b;
Fallout4.esm;0024A02B;NPC_;EncWorkshopNPCMaleGuard01b;
Fallout4.esm;0024A02A;NPC_;EncWorkshopNPCMaleFarmer09b;
Fallout4.esm;0024A029;NPC_;EncWorkshopNPCMaleFarmer08b;
Fallout4.esm;0024A028;NPC_;EncWorkshopNPCMaleFarmer07b;
Fallout4.esm;0024A027;NPC_;EncWorkshopNPCMaleFarmer06b;
