LondonWorldSpace.esm;00000007;NPC_;Player;
LondonWorldSpace.esm;00019567;NPC_;EncRaider01Boss;Hooligan Veteran
LondonWorldSpace.esm;00024002;NPC_;EncMirelurk01Template;Mittenlurk
LondonWorldSpace.esm;0002BEE9;NPC_;LvlScavenger;Scavenger
LondonWorldSpace.esm;0003183A;NPC_;EncRaider01Template;Hooligan
LondonWorldSpace.esm;0003A5EB;NPC_;REChokepointSC01_LvlRaiderAggressive;
LondonWorldSpace.esm;0003D62A;NPC_;REAssaultSC05_LvlFarmer;
LondonWorldSpace.esm;0003D630;NPC_;REAssaultSC06_LvlMrGutsyAggro;
LondonWorldSpace.esm;00047162;NPC_;EncRaider01Melee;
LondonWorldSpace.esm;0004AF21;NPC_;encRaiderFaceM01;
LondonWorldSpace.esm;0004AF22;NPC_;encRaiderFaceM02;
LondonWorldSpace.esm;0004AF23;NPC_;encRaiderFaceM05;
LondonWorldSpace.esm;0004AF24;NPC_;encRaiderFaceM06;
LondonWorldSpace.esm;0004AF25;NPC_;encRaiderFaceM07;
LondonWorldSpace.esm;0004AF26;NPC_;encRaiderFaceM08;
LondonWorldSpace.esm;000576D1;NPC_;PresetMale6;PresetMale6
LondonWorldSpace.esm;00064122;NPC_;encRaiderFaceM04;
LondonWorldSpace.esm;00064124;NPC_;encRaiderFaceM03;
LondonWorldSpace.esm;00064C5E;NPC_;EncMirelurkHunter01;Mittenlurk Hunter
LondonWorldSpace.esm;000758AF;NPC_;EncRaider02;Hooligan Scum
LondonWorldSpace.esm;000758B0;NPC_;EncRaider03;Hooligan Scavver
LondonWorldSpace.esm;000758B1;NPC_;EncRaider04;Hooligan Waster
LondonWorldSpace.esm;000758B2;NPC_;EncRaider05;Hooligan Survivalist
LondonWorldSpace.esm;000789C6;NPC_;encRaiderFaceM09;
LondonWorldSpace.esm;0007B620;NPC_;LvlRaider_Handmade_MG;
LondonWorldSpace.esm;0008CA3C;NPC_;EncRadstag02;Radstag
LondonWorldSpace.esm;00097332;NPC_;Loot_CorpseRaiderMale02;Hooligan
LondonWorldSpace.esm;00097335;NPC_;Loot_CorpseRaiderMale03;Hooligan
LondonWorldSpace.esm;00097336;NPC_;Loot_CorpseRaiderMale04;Hooligan
LondonWorldSpace.esm;00097339;NPC_;Loot_CorpseRaiderMale05;Hooligan
LondonWorldSpace.esm;0009733D;NPC_;Loot_CorpseRaiderFemale05;
LondonWorldSpace.esm;0009C666;NPC_;ParsonsGuardCorpse;Mercenary
LondonWorldSpace.esm;000A0E30;NPC_;Loot_CorpseRaiderMale01;Hooligan
LondonWorldSpace.esm;000AC4D5;NPC_;RECheckpoint_LvlSynth;
LondonWorldSpace.esm;000AC4D6;NPC_;RECheckpoint_LvlBoSSoldier_PowerArmor_BigGun;
LondonWorldSpace.esm;000AC4D8;NPC_;RECheckpoint_LvlBoSSoldier_PowerArmor_Auto;
LondonWorldSpace.esm;000AC4D9;NPC_;RECheckpoint_LvlSynth_Superbarrel;
LondonWorldSpace.esm;000AC4DA;NPC_;RECheckpoint_LvlSynth_Rifle;
LondonWorldSpace.esm;000AC4DB;NPC_;RECheckpoint_LvlSynth_Boss;Blank Clone
LondonWorldSpace.esm;000AC4F0;NPC_;RECheckpoint_LvlBoSSoldier_CombatArmor_Auto;
LondonWorldSpace.esm;000AC4F1;NPC_;RECheckpoint_LvlBoSSoldier_CombatArmor_Semi;
LondonWorldSpace.esm;000AC507;NPC_;RECheckpoint_LvlSynthCourser;
LondonWorldSpace.esm;000AC514;NPC_;RECheckpoint_LvlMinuteman_PostQuest;
LondonWorldSpace.esm;000AC515;NPC_;RECheckpoint_LvlRRagent_PostQuest;
